In|Integer|around|
se|second|clangd|v
p|push|clangd|f
fi|first|clangd|v
No|Node|clangd|C
p|print|clangd|f
he|head|clangd|v
fi|first|clangd|v
|push|clangd|f
hea|head|clangd|v
ne|next|around|
cu|current|clangd|v
No|Node|clangd|C
N|Node|clangd|C
No|Node|clangd|C
nu|nullptr|clangd|S
ne|next|clangd|m
da|data|clangd|v
da|data|clangd|m
No|Node|clangd|C
cu|current|clangd|v
cu|current|clangd|v
ne|next|around|
cu|current|clangd|v
da|data|clangd|m
null|nullptr|clangd|S
pu|public|clangd|S
pr|private|clangd|S
pu|public|clangd|S
ty|typename|clangd|S
te|template|clangd|S
ty|typename|clangd|S
te|template|clangd|S
tme|typename|clangd|S
pu|public|clangd|S
enu|enum|rust-analyzer|k
iostr|iostream>|clangd|F
in|include|clangd|S
|x|clangd|m
va|val|clangd|v
Bi|BigInt|clangd|C
Bi|BigInt|clangd|C
Bi|BigInt|clangd|C
exp|explicit|clangd|k
Bi|BigInt|clangd|C
Bi|BigInt|clangd|C
si|size_t|clangd|I
Bi|BigInt|clangd|C
cstde|cstddef>|clangd|F
in|include|clangd|S
si|size_t|clangd|I
ch|char16_t|clangd|k
ara|array|clangd|S
typ|typename|clangd|S
tem|template|clangd|S
arra|array>|clangd|F
in|include|clangd|S
in|int|clangd|k
pu|public|clangd|S
no|node_val|clangd|v
|assign_left|clangd|f
no|node|clangd|v
No|Node|clangd|C
dan|dangling_ptr|clangd|v
dele|delete|clangd|S
da|dangling_ptr|clangd|v
no|node_ptr|clangd|v
le|left|clangd|m
No|Node|clangd|C
nul|nullptr|clangd|S
no|noexcept|clangd|S
ri|right|clangd|m
nu|nullptr|clangd|S
l|left|clangd|m
val|val|clangd|m
pu|public|clangd|S
typ|typename|clangd|S
tem|template|clangd|S
No|Node|clangd|C
ty|typename|clangd|S
tem|template|clangd|S
p|private|clangd|S
pri|private|clangd|S
re|return|clangd|S
this|this|clangd|S
cen|cend|clangd|f
be|begin|clangd|f
max|max|clangd|f
algo|algorithm>|clangd|F
in|include|clangd|S
render_|render_vector|buffer|
s|screen_height|clangd|v
retu|return|clangd|S
ren|renderer|clangd|m
Vi|Visualisation|clangd|C
ve|vector|clangd|C
fri|friend|clangd|k
Vi|Visualisation|clangd|C
ba|basic.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
re|rect|clangd|v
sc|screen_height|clangd|v
re|rect|clangd|v
re|rect_width|clangd|v
re|rect|clangd|v
flo|floor|clangd|f
ma|max_value|clangd|v
floa|float|clangd|k
flo|float|clangd|k
re|rect|clangd|v
SD|SDL.h>|clangd|F
SD|SDL2/|clangd|F
i|include|clangd|S
re|rect_width|clangd|v
re|rect|clangd|v
re|rect_width|clangd|v
SDL|SDL_Rect|around|
si|size|clangd|f
siz|size_t|clangd|I
for|for|clangd|S
siz|size_t|clangd|I
fo|for|clangd|S
ve|vector|clangd|C
const|const_iterator|clangd|I
begin|begin|clangd|v
siz|size_t|clangd|I
fo|for|clangd|S
|iterator|clangd|I
ve|vector|clangd|C
compa|compare_strong_order_fallback|clangd|v
sort|sort|clangd|f
e|end|clangd|f
be|begin|clangd|f
sor|sort|clangd|f
algo|algorithm>|clangd|F
in|include|clangd|S
e|end|clangd|f
be|begin|clangd|f
ve|vector|clangd|C
it|iterator|clangd|I
ve|vector|clangd|C
ve|vector>|clangd|F
in|include|clangd|S
ve|vector|clangd|C
ve|vector|clangd|C
vect|vector>|clangd|F
in|include|clangd|S
ve|vector|clangd|C
ve|vector>|clangd|F
in|include|clangd|S
rende|renderer|clangd|m
re|rect|clangd|v
re|renderer|clangd|m
re|renderer|clangd|m
ru|running|clangd|m
is_run|is_running|clangd|f
ru|running|clangd|m
iost|iostream>|clangd|F
in|include|clangd|S
vi|visualisation_is_complete|around|
while|while|clangd|S
up|update|clangd|f
ren|render|clangd|f
ret|return|clangd|S
re|render|clangd|f
Vi|Visualisation|clangd|C
ut|utils|clangd|M
uti|utils|clangd|M
retu|return|clangd|S
reu|_readfsbase_u32|clangd|f
upda|update|clangd|f
Vi|Visualisation|clangd|C
uti|utils|clangd|M
using|using namespace|clangd|S
vi|visualisation|around|
Vi|Visualisation|clangd|C
ba|basic.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
retu|return|clangd|S
~|~Visualisation|clangd|f
Vi|Visualisation|clangd|C
u|utils.hpp|file|
inclu|include|file|
in|ini.h>|clangd|F
in|include|clangd|S
const|const|clangd|k
Vi|Visualisation|clangd|C
Vi|~Visualisation|clangd|f
Vi|Visualisation|clangd|C
ba|basic.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
ba|basic.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
Vi|Visualisation|clangd|C
pu|public|clangd|S
SDL_Ren|SDL_Renderer|clangd|I
SDL_Win|SDL_Window|clangd|I
SDL_Eve|SDL_ASSERT_LEVEL|clangd|v
SD|SDL.h>|clangd|F
SD|SDL2/|clangd|F
in|include|clangd|S
visu|Visualisation|clangd|C
pri|private|clangd|S
ut|utils.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
ut|utils.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
para|param1|around|
u|utils.hpp|file|
incl|include|file|
in|ini.h>|clangd|F
in|include|clangd|S
|utils.hpp|file|
in|include|around|
in|include|around|
in|include|clangd|S
SD|SDL.h>|clangd|F
SDL|SDL2/|clangd|F
i|include|clangd|S
ios|iostream>|clangd|F
in|include|clangd|S
ren|renderer|clangd|v
SDL_RenderPre|SDL_RenderPresent|clangd|f
check|check_sdl_code|clangd|f
uti|utils|clangd|M
|check_sdl_code|clangd|f
uti|utils|clangd|M
ren|renderer|clangd|v
SDL_SetRen|SDL_SetRenderDrawColor|clangd|f
SDL_Render|SDL_Renderer|clangd|I
SDL_Renere|SDL_RenderDrawLine|clangd|f
vi|visualisation_is_complete|clangd|v
vi|visualisation_is_complete|clangd|v
SDL_QUI|SDL_QUIT|clangd|m
ty|type|clangd|m
eve|event|clangd|v
swi|switch|clangd|S
eve|event|clangd|v
SDL_Wai|SDL_WaitEvent|clangd|f
SDL_Eve|SDL_Event|clangd|I
vi|visualisation_is_complete|clangd|v
wind|window|clangd|v
SDL_DestroyW|SDL_DestroyWindow|clangd|f
ren|renderer|clangd|v
SDL_Destro|SDL_DestroyRenderer|clangd|f
SDL_Poll|SDL_PollEvent|clangd|f
while|while|clangd|S
SDL_Ev|SDL_Event|clangd|I
visu|visualisation_complete|clangd|v
vi|visualisation_complete|clangd|v
visu|visualisation|around|
SDL_Qui|SDL_QuitEvent|clangd|S
SDL_Wait|SDL_WaitEvent|clangd|f
maybe|maybe_unused|clangd|S
SDL_Rendere|SDL_Renderer|clangd|I
che|check_sdl_ptr|clangd|f
uti|utils|clangd|M
SDL_REN|SDL_RENDERER_ACCELERATED|clangd|m
SDL_Wi|SDL_WINDOWPOS_ISCENTERED|clangd|v
SDL_CreateRen|SDL_CreateRenderer|clangd|f
SDL_Windo|SDL_Window|clangd|I
|check_sdl_ptr|clangd|f
uti|utils|clangd|M
typ|typename|clangd|S
tep|template|clangd|S
stat|static_cast|clangd|S
sdl_err|sdl_error|clangd|f
nullp|nullptr|clangd|S
SDL_WINDOW_|SDL_WINDOW_SHOWN|clangd|m
SDL_WINDOPOS_CE|SDL_WINDOWPOS_CENTERED|clangd|v
SDL_WINDOWPOS|SDL_WINDOWPOS_CENTERED|clangd|v
SDL_CreateWindow|SDL_CreateWindow|clangd|f
SDL_Qui|SDL_Quit|clangd|f
util|utils|clangd|M
che|check_sdl_code|around|
retur|return|clangd|S
exi|exit|clangd|f
sdl_er|sdl_error|clangd|f
sdl|sdl_code|clangd|v
return|return|clangd|S
SDL_GetErr|SDL_GetError|clangd|f
sdl|sdl_code|clangd|v
name|namespace|clangd|S
SDL_I|SDL_INIT_EVERYTHING|clangd|v
SDL_IN|SDL_INIT_AUDIO|clangd|v
SDL_I|SDL_ICONV_E2BIG|clangd|v
SD|SDL.h>|clangd|F
SD|SDL2/|clangd|F
in|include|clangd|S
Vi|Visual|around|
prin|printf|clangd|f
retur|return|clangd|S
iost|iostream>|clangd|F
in|include|clangd|S
iost|iostream>|clangd|F
in|include|clangd|S
fen|fen_starting_position|clangd|v
fe|fen_current_position|clangd|v
bo|board|clangd|M
genera|generate_legal_moves|clangd|f
free|Freeopenvpn|around|
chan|change_password|around|
fun|function|snippets|S
gener|generate_legal_moves|buffer|
en|ent_p|clangd|v
retu|return|clangd|S
sq|square_string|clangd|f
p|piece|clangd|v
crea|create_pawn|around|
pi|pieces|around|
Pi|Piece|clangd|C
Pa|Pawn|buffer|
pi|piece.hpp"|clangd|F
in|include/|clangd|F
in|include|clangd|S
fi|find|clangd|f
next_squa|next_square|clangd|v
ne|next_square|clangd|v
se|second_row_sqr|around|
fi|first_row_sqr|clangd|v
get_sq|get_square_from_row|around|
get_sq|get_square_from_row|around|
get_sq|get_square_from_column|around|
get_s|get_square_from_column|around|
get_sq|get_square_from_column|around|
le|legal_moves|clangd|m
for|for|clangd|S
for|for|clangd|S
|end|clangd|f
p|position|clangd|v
pi|pieces|clangd|M
che|chess|clangd|M
pi|pieces|clangd|M
ches|chess|clangd|M
fi|find|clangd|f
prin|printf|clangd|f
retur|return|clangd|S
ioste|iostream>|clangd|F
in|include|clangd|S
usf|usfovpn.ovpn|file|
im|import|around|
retu|return nullptr|clangd|S
ed|end|clangd|f
p|position|clangd|v
p|pieces|clangd|M
ch|chess|clangd|M
out_of|out_of_range|clangd|C
nu|nullptr|clangd|S
po|position|clangd|v
at|at|clangd|f
po|position|clangd|v
p|pieces|clangd|M
ch|chess|clangd|M
put|put_piece_on_square|around|
printf|printf|clangd|f
lis|list_node|rust-analyzer|M
lis|list_node|around|
li|list_node|rust-analyzer|M
lis|List_node|around|
2|21-22|around|
st|struct|rust-analyzer|k
st|struct|rust-analyzer|k
str|struct|rust-analyzer|k
c|count|rust-analyzer|f
|chars|rust-analyzer|f
re|return|rust-analyzer|k
con|continue|rust-analyzer|k
nu|numeric_chars|rust-analyzer|f
con|continue|rust-analyzer|k
con|continue|rust-analyzer|k
con|continue|rust-analyzer|k
nu|numeric_chars|rust-analyzer|f
n|nth|rust-analyzer|f
|chars|rust-analyzer|f
cha|char_equal|rust-analyzer|f
co|count|rust-analyzer|f
cha|chars|rust-analyzer|f
for|for|rust-analyzer|k
tri|trim|around|
to|to_string|rust-analyzer|f
tr|trim|rust-analyzer|f
tri|trim|rust-analyzer|f
dat|date|around|
cl|clear|rust-analyzer|f
co|count|rust-analyzer|f
ch|chars|rust-analyzer|f
co|count|rust-analyzer|f
cha|chars|around|
le|le|rust-analyzer|f
prin|println!|rust-analyzer|f
prin|println!|rust-analyzer|f
prin|println|around|
prin|println!|rust-analyzer|f
ve|verify_date|rust-analyzer|f
in|input_sucess|rust-analyzer|v
in|input_sucess|rust-analyzer|v
ret|return|rust-analyzer|k
nu|numeric_chars|rust-analyzer|f
nu|numeric_chars|rust-analyzer|f
nu|numeric_char|rust-analyzer|f
ret|return|rust-analyzer|k
con|continue|rust-analyzer|k
le|len|rust-analyzer|f
i|idx|rust-analyzer|v
fo|for|rust-analyzer|k
usi|usize|rust-analyzer|S
cha|char_equal|rust-analyzer|f
nu|numeric_char|rust-analyzer|f
nu|numeric_char|rust-analyzer|f
cha|char_equal|rust-analyzer|f
ret|return|rust-analyzer|k
So|Some|rust-analyzer|m
ma|match|rust-analyzer|k
usi|usize|rust-analyzer|S
nt|nth|rust-analyzer|f
cha|chars|rust-analyzer|f
us|usize|rust-analyzer|S
nu|numeric_char|rust-analyzer|f
nu|numeric_char|rust-analyzer|f
|is_numeric|rust-analyzer|f
re|return|rust-analyzer|k
boo|bool|rust-analyzer|S
usi|usize|rust-analyzer|S
retu|return|rust-analyzer|k
con|column!|rust-analyzer|f
is|is_numeric|rust-analyzer|f
Som|Some|rust-analyzer|m
n|nth|rust-analyzer|f
ch|chrs|rust-analyzer|v
mat|match|rust-analyzer|k
un|unwrap|rust-analyzer|f
|nth|rust-analyzer|f
ch|chrs|rust-analyzer|v
n|nth|rust-analyzer|f
ch|chrs|rust-analyzer|v
cha|chars|rust-analyzer|f
is_n|is_numeric|around|
|arc|rust-analyzer|S
le|len|rust-analyzer|f
ch|chars|rust-analyzer|f
da|date|rust-analyzer|v
le|len|rust-analyzer|f
da|date|rust-analyzer|v
fo|for|rust-analyzer|k
da|date_input|rust-analyzer|f
ret|return|rust-analyzer|k
prin|println!|rust-analyzer|f
cha|chars|rust-analyzer|f
da|date|rust-analyzer|v
da|date|rust-analyzer|v
fo|for|rust-analyzer|k
mut|mut|rust-analyzer|k
un|unwrap|rust-analyzer|f
rea|read_line|rust-analyzer|f
std|stdin|rust-analyzer|f
new|new|rust-analyzer|f
St|String|rust-analyzer|S
Li|LinkedList|rust-analyzer|S
ret|return|rust-analyzer|k
Li|LinkedList|rust-analyzer|S
pu|pub|rust-analyzer|k
Li|LinkedList|rust-analyzer|S
imp|impl|rust-analyzer|k
Op|Option|rust-analyzer|E
Box|Box|rust-analyzer|S
L|LinkedList|rust-analyzer|S
str|struct|rust-analyzer|k
push|push|rust-analyzer|f
pow|pow|rust-analyzer|f
prin|print!|rust-analyzer|f
len|len|rust-analyzer|f
le|le|rust-analyzer|f
fo|for|rust-analyzer|k
ge|gen_random_vec|rust-analyzer|f
i3|i32|around|
pow|pow|rust-analyzer|f
i32|i32|around|
ra|rand|around|
for|for|around|
thr|thread_rng|around|
retu|return|rust-analyzer|k
ve|Vec|rust-analyzer|S
|with_capacity|rust-analyzer|f
Ve|Vec|rust-analyzer|S
usi|usize|rust-analyzer|S
Ve|Vec|rust-analyzer|S
pu|pub|around|
ve|vec!|rust-analyzer|f
bu|bubble_sort|around|
ass|assert_eq!|rust-analyzer|f
ve|vec!|rust-analyzer|f
swa|swap|rust-analyzer|f
le|len|rust-analyzer|f
fo|for|rust-analyzer|k
le|len|rust-analyzer|f
Pa|PartialOrd|rust-analyzer|I
swap|swap|around|
swa|swap|rust-analyzer|f
l|len|rust-analyzer|f
for|for|rust-analyzer|k
|len|rust-analyzer|f
fo|for|rust-analyzer|k
Ve|Vec|rust-analyzer|S
n|ne02.ovpn|file|
prin|printf|clangd|f
prin|printf|clangd|f
siz|size_t|clangd|I
for|for|clangd|S
stdio|stdio.h>|clangd|F
in|include|clangd|S
prin|println!|rust-analyzer|f
v|v_it|rust-analyzer|v
fo|for|rust-analyzer|k
it|iter|rust-analyzer|f
ve|vec!|rust-analyzer|f
Str|String|rust-analyzer|S
prin|print!|rust-analyzer|f
fo|for|rust-analyzer|k
St|String|rust-analyzer|S
V|Vec|rust-analyzer|S
co|collect|rust-analyzer|f
spli|split|rust-analyzer|f
coll|collect|rust-analyzer|f
cha|chars|rust-analyzer|f
for|for|around|
|unwrap|rust-analyzer|f
nt|nth|rust-analyzer|f
cha|chars|rust-analyzer|f
prin|println!|rust-analyzer|f
le|len|rust-analyzer|f
for|for|rust-analyzer|k
fro|from|rust-analyzer|f
St|String|rust-analyzer|S
to|to_string|around|
pu|push_str|rust-analyzer|f
|into|rust-analyzer|f
prin|println!|rust-analyzer|f
add|add_to_string|rust-analyzer|f
a|add|rust-analyzer|v
fo|format!|rust-analyzer|f
S|String|rust-analyzer|S
ret|return|rust-analyzer|k
St|String|rust-analyzer|S
to|to_string|rust-analyzer|f
prin|println!|rust-analyzer|f
le|len|rust-analyzer|f
for|for|rust-analyzer|k
ve|vec!|rust-analyzer|f
Ve|Vec|rust-analyzer|S
nl|nl01.ovpn|file|
bu|buf|rust-analyzer|v
buf|buf|rust-analyzer|v
for|format!|rust-analyzer|f
in|into_bytes|rust-analyzer|f
un|unwrap|around|
|clear|rust-analyzer|f
|replace|rust-analyzer|f
cl|clear|rust-analyzer|f
buf|buf|rust-analyzer|v
trim|trim|around|
bu|buf|around|
bu|buf|rust-analyzer|v
prin|println!|rust-analyzer|f
txt|THDqiC4a1X3V6au4EDpKtxjbhpUy|around|
usa|usa01.ovpn|file|
ko|korea02.ovpn|file|
in|india.ovpn|file|
nl|nl-free-69.protonvpn.net.udp.ovpn|file|
au|australia01.ovpn|file|
u|us03.ovpn|file|
|clear|rust-analyzer|f
buf|buf|rust-analyzer|v
tri|trim|rust-analyzer|f
tri|trim|rust-analyzer|f
|replace_range|rust-analyzer|f
pr|print_vector_of_i32|rust-analyzer|f
in|input|rust-analyzer|f
prin|println!|rust-analyzer|f
|len|rust-analyzer|f
fo|for|rust-analyzer|k
i3|i32|rust-analyzer|S
Ve|Vec|rust-analyzer|S
i|i32|rust-analyzer|S
exp|expect|around|
ex|extend|rust-analyzer|f
usi|usize|rust-analyzer|S
par|parse|rust-analyzer|f
bu|buf|rust-analyzer|v
un|unwrap|rust-analyzer|f
bu|buf|rust-analyzer|v
read_l|read_line|rust-analyzer|f
re|read|rust-analyzer|f
stdi|stdin|rust-analyzer|f
io|io|rust-analyzer|M
i32|i32|rust-analyzer|S
usi|usize|rust-analyzer|S
pu|push|rust-analyzer|f
fo|for|rust-analyzer|k
|with_capacity|rust-analyzer|f
|with_capacity|rust-analyzer|f
Ve|Vec|rust-analyzer|S
ex|expect|around|
ex|expect|around|
us|usize|rust-analyzer|S
parse|parse|around|
pa|partition_point|rust-analyzer|f
in|input|rust-analyzer|f
un|unwrap|rust-analyzer|f
new|new|rust-analyzer|f
S|String|rust-analyzer|S
re|read_line|rust-analyzer|f
std|stdin|rust-analyzer|f
usi|usize|rust-analyzer|S
retur|return|rust-analyzer|k
i|i32|rust-analyzer|S
V|Vec|rust-analyzer|S
